Date,Value
2022-11-01,0.98779
2022-11-02,0.98144
2022-11-03,0.97496
2022-11-06,0.99288
2022-11-07,1.00186
2022-11-08,1.00808
2022-11-09,1.00195
2022-11-10,1.01922
2022-11-13,1.03286
2022-11-14,1.03193
2022-11-15,1.03579
2022-11-16,1.03950
2022-11-17,1.03617
2022-11-20,1.03309
2022-11-21,1.02457
2022-11-22,1.03111
2022-11-23,1.04162
2022-11-24,1.04081
2022-11-27,1.03675
2022-11-28,1.03455
2022-11-29,1.03245
2022-11-30,1.04253
2022-12-01,1.05284
2022-12-04,1.05442
2022-12-05,1.04969
2022-12-06,1.04690
2022-12-07,1.05133
2022-12-08,1.05597
2022-12-11,1.05222
2022-12-12,1.05417
2022-12-13,1.06266
2022-12-14,1.06763
2022-12-15,1.06406
2022-12-18,1.05850
2022-12-19,1.06146
2022-12-20,1.06270
2022-12-21,1.06101
2022-12-22,1.06033
2022-12-25,1.06678
2022-12-26,1.06402
2022-12-27,1.06372
2022-12-28,1.06292
2022-12-29,1.06608
2023-01-01,1.07097
2023-01-02,1.06777
2023-01-03,1.05469
2023-01-04,1.06064
2023-01-05,1.05222
2023-01-08,1.06563
2023-01-09,1.07332
2023-01-10,1.07390
2023-01-11,1.07660
2023-01-12,1.08602
2023-01-15,1.08246
2023-01-16,1.08301
2023-01-17,1.07933
2023-01-18,1.07978
2023-01-19,1.08339
2023-01-22,1.08647
2023-01-23,1.08743
2023-01-24,1.08882
2023-01-25,1.09220
2023-01-26,1.08944
2023-01-29,1.08715
2023-01-30,1.08507
2023-01-31,1.08610
2023-02-01,1.10129
2023-02-02,1.09051
2023-02-05,1.07909
2023-02-06,1.07308
2023-02-07,1.07297
2023-02-08,1.07158
2023-02-09,1.07423
2023-02-12,1.06777
2023-02-13,1.07304
2023-02-14,1.07357
2023-02-15,1.06918
2023-02-16,1.06658
2023-02-19,1.06844
2023-02-20,1.06826
2023-02-21,1.06520
2023-02-22,1.06058
2023-02-23,1.05981
2023-02-26,1.05548
2023-02-27,1.06112
2023-02-28,1.05773
2023-03-01,1.06689
2023-03-02,1.05997
2023-03-05,1.06262
2023-03-06,1.06883
2023-03-07,1.05507
2023-03-08,1.05495
2023-03-09,1.05847
2023-03-12,1.06837
2023-03-13,1.07250
2023-03-14,1.07277
2023-03-15,1.05834
2023-03-16,1.06141
2023-03-19,1.06789
2023-03-20,1.07191
2023-03-21,1.07742
2023-03-22,1.08704
2023-03-23,1.08351
2023-03-26,1.07782
2023-03-27,1.08071
2023-03-28,1.08395
2023-03-29,1.08436
2023-03-30,1.09047
2023-04-02,1.08033
2023-04-03,1.09123
2023-04-04,1.09601
2023-04-05,1.09033
2023-04-06,1.09201
2023-04-09,1.09136
2023-04-10,1.08693
2023-04-11,1.09175
2023-04-12,1.09999
2023-04-13,1.10546
2023-04-16,1.09866
2023-04-17,1.09254
2023-04-18,1.09754
2023-04-19,1.09522
2023-04-20,1.09709
2023-04-23,1.09923
2023-04-24,1.10595
2023-04-25,1.09784
2023-04-26,1.10473
2023-04-27,1.10320
2023-04-30,1.10109
2023-05-01,1.09692
2023-05-02,1.10109
2023-05-03,1.10689
2023-05-04,1.10229
2023-05-07,1.10187
2023-05-08,1.09961
2023-05-09,1.09647
2023-05-10,1.09841
2023-05-11,1.09122
2023-05-14,1.08527
2023-05-15,1.08737
2023-05-16,1.08657
2023-05-17,1.08384
2023-05-18,1.07754
2023-05-21,1.08228
2023-05-22,1.08110
2023-05-23,1.07697
2023-05-24,1.07573
2023-05-25,1.07244
2023-05-28,1.07231
2023-05-29,1.07077
2023-05-30,1.07331
2023-05-31,1.06952
2023-06-01,1.07608
2023-06-04,1.06986
2023-06-05,1.07118
2023-06-06,1.06980
2023-06-07,1.07074
2023-06-08,1.07827
2023-06-11,1.07509
2023-06-12,1.07630
2023-06-13,1.07893
2023-06-14,1.08431
2023-06-15,1.09459
2023-06-18,1.09421
2023-06-19,1.09243
2023-06-20,1.09204
2023-06-21,1.09926
2023-06-22,1.09589
2023-06-25,1.09067
2023-06-26,1.09105
2023-06-27,1.09572
2023-06-28,1.09158
