Date,Value
2022-11-01,7.7400
2022-11-02,7.8500
2022-11-03,7.8700
2022-11-04,8.4800
2022-11-07,8.7600
2022-11-08,8.9900
2022-11-09,8.1500
2022-11-10,7.3800
2022-11-11,7.5800
2022-11-14,7.6800
2022-11-15,7.6200
2022-11-16,7.7100
2022-11-17,7.2700
2022-11-18,7.0000
2022-11-21,6.8600
2022-11-22,6.9900
2022-11-23,7.0000
2022-11-25,6.9200
2022-11-28,6.7000
2022-11-29,6.8000
2022-11-30,7.0000
2022-12-01,7.0300
2022-12-02,6.5300
2022-12-05,6.6500
2022-12-06,6.1200
2022-12-07,6.0100
2022-12-08,5.9300
2022-12-09,5.6100
2022-12-12,5.4900
2022-12-13,5.9400
2022-12-14,5.9000
2022-12-15,5.8500
2022-12-16,5.8200
2022-12-19,5.7500
2022-12-20,5.4300
2022-12-21,5.7100
2022-12-22,5.5100
2022-12-23,5.5400
2022-12-27,5.7800
2022-12-28,5.7500
2022-12-29,5.4100
2022-12-30,5.5100
2023-01-03,5.5000
2023-01-04,4.9400
2023-01-05,5.1400
2023-01-06,5.2200
2023-01-09,5.3900
2023-01-10,5.5000
2023-01-11,5.5400
2023-01-12,5.6700
2023-01-13,5.8600
2023-01-17,6.1600
2023-01-18,6.3200
2023-01-19,5.7600
2023-01-20,6.1500
2023-01-23,6.2400
2023-01-24,6.2300
2023-01-25,6.0400
2023-01-26,6.4100
2023-01-27,6.5900
2023-01-30,6.1600
2023-01-31,6.0900
2023-02-01,6.1700
2023-02-02,5.9900
2023-02-03,5.7600
2023-02-06,5.8500
2023-02-07,5.8500
2023-02-08,6.1000
2023-02-09,5.8500
2023-02-10,5.8800
2023-02-13,6.1500
2023-02-14,5.9800
2023-02-15,5.9900
2023-02-16,5.9900
2023-02-17,5.7500
2023-02-21,5.5000
2023-02-22,5.2900
2023-02-23,5.4600
2023-02-24,5.4400
2023-02-27,5.6500
2023-02-28,5.8100
2023-03-01,5.6200
2023-03-02,5.7700
2023-03-03,5.7700
2023-03-06,6.1400
2023-03-07,5.9400
2023-03-08,5.7500
2023-03-09,5.8300
2023-03-10,5.3800
2023-03-13,5.2300
2023-03-14,5.2000
2023-03-15,4.8900
2023-03-16,4.5700
2023-03-17,4.6300
2023-03-20,4.5700
2023-03-21,4.6700
2023-03-22,5.0300
2023-03-23,5.0100
2023-03-24,4.6500
2023-03-27,4.9900
2023-03-28,4.9600
2023-03-29,5.1400
2023-03-30,5.1400
2023-03-31,5.1000
2023-04-03,5.5000
2023-04-04,5.5300
2023-04-05,5.3600
2023-04-06,5.2300
2023-04-10,5.1000
2023-04-11,5.1100
2023-04-12,5.1600
2023-04-13,5.1400
2023-04-14,5.2600
2023-04-17,5.1700
2023-04-18,4.9000
2023-04-19,4.8000
2023-04-20,4.6300
2023-04-21,4.5600
2023-04-24,4.4700
2023-04-25,4.5000
2023-04-26,4.3200
2023-04-27,4.2400
2023-04-28,4.2200
2023-05-01,4.2800
2023-05-02,4.2400
2023-05-03,3.9400
2023-05-04,4.0500
2023-05-05,4.2900
2023-05-08,4.4300
2023-05-09,4.2400
2023-05-10,4.0300
2023-05-11,4.0900
2023-05-12,4.1300
2023-05-15,4.1300
2023-05-16,4.0700
2023-05-17,4.0200
2023-05-18,4.0000
2023-05-19,4.1800
2023-05-22,4.2200
2023-05-23,4.4200
2023-05-24,4.4100
2023-05-25,4.2500
2023-05-26,4.1400
2023-05-30,3.9400
2023-05-31,3.8600
2023-06-01,3.8900
2023-06-02,4.0100
2023-06-05,4.2300
2023-06-06,3.9500
