document_id,date,short_term_sentiment,long_term_sentiment,relevancy_factor
fdf4c8bf-d5bc-4b32-8289-14ee5ecc7c1a,2024-10-28 07:13:55,-3,7,0.8
16dbb83d-4c6b-4eaf-8a23-cb0bd7c52c50,2024-10-28 08:06:59,-1,3,0.6
1913a194-6878-42ac-9086-8ae36e305cc1,2024-10-28 09:00:00,-2,5,0.6
0c214f06-6616-4338-8ae4-bc361970f956,2024-10-28 09:44:00,-5,2,0.6
87bb1b1f-f54c-4062-930e-00b71467a561,2024-10-28 10:10:00,-5,-7,0.9
420e2b82-f886-412a-aee3-f4f343c3848d,2024-10-28 10:55:00,-2,4,0.6
413ee1ec-f471-4ea0-93ec-46a503f1266b,2024-10-28 15:00:55,-5,-2,0.7
3f1d931b-453b-4946-abd7-1694b0b43176,2024-10-28 15:02:05,-1,5,0.8
5f8ef7e8-af2b-428b-b5ca-c8e9c11d21ec,2024-10-28 16:35:07,8,7,0.9
8bd2d3ce-fc17-4bd7-812f-4827d6f92e70,2024-10-28 17:01:00,-7,-5,0.9
c03f6f03-41c7-4f52-88d3-9e3f0fb1a361,2024-10-28 17:28:57,-8,-6,0.9
90a05ee9-9998-477c-8d6e-ddb2b2440b7a,2024-10-28 19:10:00,-8,-6,0.9
fd1273fa-77b0-447e-b6d9-5b8580b3c8e8,2024-10-29 05:48:13,0,-3,0.6
453b3e60-80f1-4db6-9543-c9175ec1d0a9,2024-10-29 06:42:35,8,6,0.9
5d7cf90b-cc4e-4805-b830-fb64566e1079,2024-10-29 07:25:11,-6,-4,0.6
8889e592-91cf-47bc-bb84-58c577350128,2024-10-29 07:59:33,-3,6,0.9
c70a0e78-a15e-4d7c-8868-39fe4c64d9ac,2024-10-29 08:41:00,-2,4,0.3
3005a23f-9173-47da-99ce-14c88c3695b0,2024-10-29 10:17:00,-5,-7,1.0
ce6ec4bd-1531-48c9-b153-eaa4909b8bfd,2024-10-29 11:04:02,-8,-6,0.9
947d5b23-f1f3-431d-8483-236b76abd067,2024-10-29 11:08:00,7,3,0.9
ece70d73-830a-4774-8cb1-db6cfab3b9dd,2024-10-29 14:02:00,-4,7,0.85
f5b7927a-9a23-4c67-aa2e-3b7b752eb746,2024-10-29 14:33:37,-5,7,0.9
a3ec31fd-2d63-420d-b809-5bdbf438e242,2024-10-29 16:51:00,-5,3,0.6
ead8d6ae-4e11-4600-bdfd-bcaddae33541,2024-10-29 19:13:51,-6,-3,0.8
ced64057-8431-44e2-a3fc-4ce9b7cecb56,2024-10-30 07:48:44,-6,-8,0.9
fcfdcf22-45b9-4d53-af6b-aabc4a3c17f4,2024-10-30 09:03:00,-5,-3,0.7
d8c8ccd7-cc80-4446-931b-efe15035d3ac,2024-10-30 09:19:00,-3,-5,0.9
3d6c8c1f-94fe-4f91-88b7-37a9444820cc,2024-10-30 09:30:15,-3,-5,0.7
e75bc0e1-7dcb-43a0-91bf-1d90d6806101,2024-10-30 09:30:33,-3,5,0.6
7aab2567-2101-4c03-843d-c11ba22e8cf9,2024-10-30 10:22:08,-2,5,0.8
0e35abea-8587-459c-9e74-d3287bf93773,2024-10-30 10:42:41,-3,5,0.8
75d01259-9082-432d-ad42-86e226a4ac2b,2024-10-30 11:32:00,-3,5,0.9
face3122-8d5b-4d23-9021-10b1d684c40f,2024-10-30 11:43:36,-2,5,0.6
94b026da-8a08-4eab-bf7f-96d4635c0931,2024-10-30 13:12:10,-3,-1,0.75
f022c607-5147-42b9-b3fa-60dcf088f28e,2024-10-30 13:33:00,-3,5,0.6
a7af240c-fe1f-40c4-84cb-6ab483e42306,2024-10-30 14:33:20,-5,-3,0.6
8c6f6ebe-0895-44c7-9dc6-01d5e09f98f0,2024-10-30 14:45:24,-6,-4,0.6
5a61e5ae-2b8c-46b6-9d71-7a737e2cafc1,2024-10-30 14:45:49,-4,-6,0.9
9bc0b82b-4049-43fc-b564-7dc15f276d66,2024-10-30 16:02:03,-4,-3,0.6
6a6cb8ee-9aa3-4947-a45c-3abc417e3b58,2024-10-30 22:32:20,-1,5,0.9
