document_id,date,short_term_sentiment,long_term_sentiment,relevancy_factor
9da881f5-118b-4094-a03f-667186756366,2024-01-02 08:31:52,-7,-5,0.9
354395b8-d6a7-4cef-af22-71894d89c304,2024-01-02 08:54:00,6,5,0.8
21ff94a0-5019-4bc6-bacb-3d18d94aede7,2024-01-02 09:21:00,-7,-3,0.95
d38adc85-d161-423b-a195-350405092951,2024-01-02 10:01:01,-4,2,0.75
ebc968a7-2c19-46fe-8667-91204258724d,2024-01-02 12:09:09,-3,2,0.6
02a7c822-31b4-42e7-b400-e7b95cddb59b,2024-01-02 14:17:00,-2,5,0.75
c829e9e8-d7fc-4bc1-aac1-e1db0162e634,2024-01-02 15:29:19,-3,6,0.85
c2afe428-812a-43a5-a314-e5148ddb2e67,2024-01-02 18:01:57,-1,2,0.6
d3c3bf5f-724b-4162-8e76-b2c5cb7516e9,2024-01-02 18:58:00,-4,6,0.6
bfe37eae-29f6-4d41-9df3-cd6941b36783,2024-01-03 09:21:54,-5,-7,0.9
0056d0e5-99b1-43ab-9668-4d7f846fc62f,2024-01-03 10:24:52,-2,6,0.85
772d6000-8982-4984-b2b4-a199baadb77a,2024-01-04 09:39:03,-1,3,0.6
14f1bb8c-4289-4e9a-a45d-ae47970ec352,2024-01-04 09:42:57,-8,-5,0.9
1e8b0d39-cd14-438e-a078-cdf679c8f027,2024-01-04 11:52:59,-5,3,0.75
f7323baa-c728-436e-8cbb-96443a49dd8c,2024-01-04 13:30:51,0,5,0.8
71072869-ca42-4480-b8d1-147e17040212,2024-01-04 15:43:13,-5,-7,0.8
a38fcfc5-9081-4a32-91bf-45914c624007,2024-01-04 16:22:46,4,2,0.8
1c8dcb38-5380-4828-b6b0-fd0c965c2b88,2024-01-04 18:12:00,-5,-4,0.6
2dfd3bc0-91d5-4b6b-a7e4-c843243e15a8,2024-01-05 08:08:54,-3,5,0.8
1c5d06aa-5ee6-4373-86c5-f8676862eac1,2024-01-05 09:29:47,-1,5,0.8
8cd7cf87-12e6-40bf-9224-889dbb87762c,2024-01-05 09:57:39,-2,5,0.8
c438da70-b4bb-497b-938c-05da8028feb1,2024-01-05 12:28:07,-2,5,0.9
3dda4b36-9a19-4df3-bbce-ca81256d93b1,2024-01-05 14:00:43,-8,5,0.9
6d5d365e-acf7-46ff-a80a-aaff68d36727,2024-01-05 17:17:00,-3,1,0.4
a8aae1c1-b443-429c-9971-02c67a9e6121,2024-01-06 05:54:31,0,-5,0.75
dae59117-c804-45db-ae63-2dbc05a9efd2,2024-01-06 09:57:31,-5,-6,0.6
6a096871-d6ec-47e0-a9aa-a74565754d3a,2024-01-06 10:30:25,7,8,0.9
caea3cac-788d-4ec9-8f9f-af6c5891571d,2024-01-06 12:32:36,6,-8,0.9
0ee86e81-a93d-435f-9e1d-380049b9e1dd,2024-01-06 18:42:00,6,4,0.8
92016a4f-34ed-4b3b-bd33-72bb4082ee9d,2024-01-07 10:52:00,-3,-1,0.6
8d7c3ea1-5417-43cc-b5fc-0c9677d8daab,2024-01-07 15:49:00,-3,1,0.6
